INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,27,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,27,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,27,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,28,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,28,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,28,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,29,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,29,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,29,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,3,ADMIMETH_1,-0.15188793226342073,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,3,ADMIMETH_1,0.05932908048905178,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,3,ADMIMETH_1,0.3208358848182955,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,30,ADMIMETH_1,-2.287291039405531,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,30,ADMIMETH_1,-2.270910380430484,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,30,ADMIMETH_1,-2.272084544914128,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,31,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,31,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,31,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,32,ADMIMETH_1,-2.3405471148249997,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,32,ADMIMETH_1,-2.331974927287085,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,32,ADMIMETH_1,-2.335219952053468,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,33,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,33,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
